infections,dead,recovered,infected
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
2,0,0,2
2,0,0,2
2,0,0,2
2,0,0,2
4,0,0,4
4,0,0,4
4,0,0,4
6,0,1,6
6,0,1,6
6,0,1,6
6,0,1,6
7,0,1,7
9,0,2,8
9,0,2,8
9,0,2,8
9,0,2,8
9,0,3,8
9,0,4,8
10,0,4,8
10,0,5,8
11,0,6,9
12,0,6,10
15,0,6,13
15,0,7,13
15,0,7,13
15,0,9,13
15,0,9,13
15,0,9,13
17,0,9,15
19,0,9,15
20,0,10,16
22,0,10,17
25,1,10,19
26,1,10,20
28,1,14,22
33,1,14,24
34,1,14,25
35,1,14,26
36,1,14,27
39,1,14,29
39,1,14,29
40,2,16,30
41,2,17,30
42,3,18,31
47,3,21,35
49,3,22,37
51,3,24,38
52,5,27,39
53,5,29,40
56,5,30,42
58,5,30,43
58,6,32,43
60,6,33,45
61,6,34,46
63,6,35,48
63,6,36,48
64,6,38,48
66,6,42,50
66,7,42,50
66,7,45,50
66,7,45,50
66,7,48,50
66,7,51,50
66,7,51,50
66,7,52,50
66,8,53,50
66,8,54,50
66,8,55,50
66,8,56,50
66,8,57,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
66,8,58,50
